TreeDepth,Index,Address,Module,Symbol
0,309,0x82ae6176,ntoskrnl,NtSaveKey
0,310,0x82ae591c,ntoskrnl,NtSaveKeyEx
0,311,0x82aedbbb,ntoskrnl,NtSaveMergedKeys
0,312,0x82ab0dbc,ntoskrnl,NtSecureConnectPort
0,313,0x829ddf07,ntoskrnl,NtSerializeBoot
0,314,0x82b57c7f,ntoskrnl,NtSetBootEntryOrder
0,315,0x82b5816b,ntoskrnl,NtSetBootOptions
0,316,0x82b2fcff,ntoskrnl,NtSetContextThread
0,317,0x829c39bd,ntoskrnl,NtSetDebugFilterState
0,318,0x829e1895,ntoskrnl,NtSetDefaultHardErrorPort
0,319,0x829f5ce1,ntoskrnl,NtSetDefaultLocale
0,320,0x829f6250,ntoskrnl,NtSetDefaultUILanguage
0,321,0x82b58bf5,ntoskrnl,NtSetDriverEntryOrder
0,322,0x82b0adda,ntoskrnl,NtSetEaFile
0,323,0x82a7c6de,ntoskrnl,NtSetEvent
0,324,0x82b560b7,ntoskrnl,NtSetEventBoostPriority
0,325,0x82b5d435,ntoskrnl,NtSetHighEventPair
0,326,0x82b5d367,ntoskrnl,NtSetHighWaitLowEventPair
0,327,0x82b013b9,ntoskrnl,NtSetInformationDebugObject
0,328,0x82b44dea,ntoskrnl,NtSetInformationEnlistment
0,329,0x82aa975c,ntoskrnl,NtSetInformationFile
0,330,0x82a4ecce,ntoskrnl,NtSetInformationJobObject
0,331,0x82aee3ad,ntoskrnl,NtSetInformationKey
0,332,0x82a5b314,ntoskrnl,NtSetInformationObject
0,333,0x82a8b603,ntoskrnl,NtSetInformationProcess
0,334,0x82b4680c,ntoskrnl,NtSetInformationResourceManager
0,335,0x82abcaaf,ntoskrnl,NtSetInformationThread
0,336,0x82a56780,ntoskrnl,NtSetInformationToken
0,337,0x82b46146,ntoskrnl,NtSetInformationTransaction
0,338,0x82b46dfb,ntoskrnl,NtSetInformationTransactionManager
0,339,0x828ff362,ntoskrnl,NtSetInformationWorkerFactory
0,340,0x82b5de48,ntoskrnl,NtSetIntervalProfile
0,341,0x82a36b82,ntoskrnl,NtSetIoCompletion
