TreeDepth,Allocation,Tag,PoolType,NumberOfBytes,Status
0,0x92e22000,CM25,PagedPool,0x1000,Allocated
0,0x93624000,CM25,PagedPool,0x1000,Allocated
0,0x93e26000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93fce000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94239000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94638000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x947d0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94a3b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94bd3000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96630000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x967d8000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x88c52000,CM16,PagedPool,0x1000,Allocated
0,0x85867000,DxgK,NonPagedPool,0x21a0,Allocated
0,0x86069000,Cont,NonPagedPool,0x1000,Allocated
0,0xa166f000,CMA,PagedPool,0x1000,Allocated
0,0x92cb9000,CM25,PagedPool,0x1000,Allocated
0,0x930be000,CM25,PagedPool,0x1000,Allocated
0,0x928b8000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93cbd000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9131e000,CM25,PagedPool,0x1000,Allocated
0,0x92b10000,CM25,PagedPool,0x1000,Allocated
0,0x92f11000,CM25,PagedPool,0x1000,Allocated
0,0x93717000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9430a000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x944a3000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9470b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x948a0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94b08000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94ca1000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96703000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x964ab000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x968a8000,MmSt,Unknown choice 2147483649,0x1680,Allocated
0,0x9cc81000,MmRe,PagedPool,0x3160,Allocated
0,0x920ba000,MmRe,PagedPool,0x1dd8,Allocated
0,0x85eec000,Cont,NonPagedPool,0x1000,Allocated
0,0x87d7d000,ArbA,PagedPool,0x1000,Allocated
0,0x85176000,IdeP,NonPagedPool,0x1808,Allocated
0,0x88d41000,MmSt,Unknown choice 2147483649,0x6000,Allocated
0,0x88940000,PfLB,PagedPool,0x8000,Allocated
0,0xa10f7000,MmRe,PagedPool,0x13d0,Allocated
0,0xa135f000,CMA,PagedPool,0x1000,Allocated
0,0x965ba000,CM25,PagedPool,0x1000,Allocated
0,0x931af000,CM25,PagedPool,0x1000,Allocated
0,0x929a9000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93dac000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x92c00000,CM25,PagedPool,0x1000,Allocated
0,0x93007000,CM25,PagedPool,0x1000,Allocated
0,0x92801000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93c04000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x945b2000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94819000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x949b1000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94c18000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94db0000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x84bfe000,Cont,NonPagedPool,0x1000,Allocated
0,0x85bfa000,Cont,NonPagedPool,0x1000,Allocated
0,0x85e43000,Cont,NonPagedPool,0x1000,Allocated
0,0x85ffb000,Cont,NonPagedPool,0x1000,Allocated
0,0x8a7c5000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x91291000,CM25,PagedPool,0x1000,Allocated
0,0x92e9e000,CM25,PagedPool,0x1000,Allocated
0,0x93698000,CM25,PagedPool,0x1000,Allocated
0,0x93e9a000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94285000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94684000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94a87000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9668c000,CM31,PagedPoolCacheAligned,0x3000,Allocated
0,0x850c9000,Cont,NonPagedPool,0x1000,Allocated
0,0x85cca000,Cont,NonPagedPool,0x1000,Allocated
0,0x860c5000,Cont,NonPagedPool,0x1000,Allocated
0,0x8a76c000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x888ff000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0xa16d3000,CMA,PagedPool,0x1000,Allocated
0,0x91382000,CM25,PagedPool,0x1000,Allocated
0,0x92b8c000,CM25,PagedPool,0x1000,Allocated
0,0x92f8d000,CM25,PagedPool,0x1000,Allocated
0,0x9378b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93f89000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94396000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94797000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94b94000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9679f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x87c29000,CM29,PagedPool,0x2000,Allocated
0,0x84c25000,Cont,NonPagedPool,0x1000,Allocated
0,0x88c15000,CM16,PagedPool,0x1000,Allocated
0,0x85c21000,Cont,NonPagedPool,0x1000,Allocated
0,0x85dd9000,Cont,NonPagedPool,0x1000,Allocated
0,0x8602e000,Cont,NonPagedPool,0x1000,Allocated
0,0x861d6000,VM3D,NonPagedPool,0x4000,Allocated
0,0x8d1fa000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x92c7c000,CM25,PagedPool,0x1000,Allocated
0,0x9287d000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93c78000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94466000,CM31,PagedPoolCacheAligned,0x2000,Allocated
0,0x94865000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94c64000,CM31,PagedPoolCacheAligned,0x4000,Allocated
0,0x85ed7000,Cont,NonPagedPool,0x1000,Allocated
0,0x88d04000,MmSt,Unknown choice 2147483649,0x8000,Allocated
0,0xa10bc000,MmRe,PagedPool,0x1438,Allocated
0,0x96571000,MmRe,PagedPool,0xcfc8,Allocated
0,0x92d63000,CM25,PagedPool,0x1000,Allocated
0,0x93164000,CM25,PagedPool,0x2000,Allocated
0,0x92962000,CM31,PagedPoolCacheAligned,0x2000,Allocated
0,0x93d67000,CM31,PagedPoolCacheAligned,0x1000,Allocated
