TreeDepth,Offset,RecordType,RecordNumber,LinkCount,MFTType,Permissions,AttributeType,Created,Modified,Updated,Accessed,Filename
1,0x8865bd30,FILE,26223,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,AUDIOS~1.MUI
1,0x8865bda8,FILE,26223,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,AudioSrv.dll.mui
0,0x8865e050,FILE,26232,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:27.000000 ,2010-11-21 00:38:27.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:28.000000 ,N/A
1,0x8865e0b0,FILE,26232,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,AUTOCO~1.MUI
1,0x8865e128,FILE,26232,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,autoconv.exe.mui
1,0x8865e1a8,FILE,26232,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,autoconv.exe.mui
0,0x8865e450,FILE,26233,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:26.000000 ,2010-11-21 00:38:26.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:26.000000 ,N/A
1,0x8865e4b0,FILE,26233,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,AUTOFM~1.MUI
1,0x8865e528,FILE,26233,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,Autofmt.exe.mui
1,0x8865e5a0,FILE,26233,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,Autofmt.exe.mui
0,0x8865e850,FILE,26234,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:26.000000 ,2010-11-21 00:38:26.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:26.000000 ,N/A
1,0x8865e8b0,FILE,26234,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,AUTOPL~1.MUI
1,0x8865e928,FILE,26234,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,autoplay.dll.mui
1,0x8865e9a8,FILE,26234,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,autoplay.dll.mui
0,0x8865ec50,FILE,26235,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:27.000000 ,2010-11-21 00:38:27.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:28.000000 ,N/A
1,0x8865ecb0,FILE,26235,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,AuxiliaryDisplayClassInstaller.dll.mui
1,0x8865ed58,FILE,26235,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,AUXILI~1.MUI
1,0x8865edd0,FILE,26235,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,AuxiliaryDisplayClassInstaller.dll.mui
