TreeDepth,Offset,Name,Size
0,0x54c7298,\\Windows\\System32\\drivers\\BTHUSB.SYS,128
0,0x54c74f0,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\Shell\\WindowsParentalControls,128
0,0x54c7678,\\Windows\\System32\\LogFiles\\Scm\\c90440a0-6d8f-423f-8f42-83eef05ce708,128
0,0x54c7f18,\\Windows\\System32\\IconCodecService.dll,128
0,0x54f9570,\\Windows\\System32\\en-US\\lsm.exe.mui,128
0,0x5551770,\\Windows\\System32\\spoolsv.exe,128
0,0x5551d70,\\Windows\\AppPatch\\sysmain.sdb,128
0,0x55957c0,\\Windows\\assembly\\NativeImages_v2.0.50727_32\\System.Transactions\\ad18f93fc713db2c4b29b25116c13bd8\\System.Transactions.ni.dll,128
0,0x5595f80,\\Windows\\winsxs\\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2,128
0,0x564e4e0,\\Windows\\System32\\config\\SECURITY,128
0,0x564e920,\\Windows\\System32\\winsta.dll,128
0,0x574a038,\\Windows\\Fonts\\consolai.ttf,128
0,0x575b1f8,\\Windows\\System32\\en-US\\fdrespub.dll.mui,128
0,0x575b3a8,\\Windows\\System32\\drivers\\en-US\\fltmgr.sys.mui,128
0,0x575b4d0,\\Users\\Hoxed\\AppData\\Roaming\\Microsoft\\Windows\\Start Menu\\Programs\\Maintenance\\Desktop.ini,128
0,0x575b860,\\Windows\\System32\\en-US\\fdPHost.dll.mui,128
0,0x575ba10,\\Windows\\System32\\FDResPub.dll,128
0,0x575bf80,\\Windows\\System32\\fdPHost.dll,128
0,0x599d3e0,\\Windows\\Fonts\\palai.ttf,128
0,0x599d5d0,\\Windows\\System32\\mmc.exe,128
0,0x599d9b0,\\Windows\\Fonts\\upckl.ttf,128
0,0x599db58,\\Windows\\System32\\oleaccrc.dll,128
0,0x59d9eb8,\\Windows\\Fonts\\smalle.fon,128
0,0x5a0c038,\\Windows\\winsxs\\Manifests\\x86_microsoft.windows.c..-controls.resources_6595b64144ccf1df_5.82.7600.16385_en-us_020378a8991bbcc2.manifest,128
0,0x5a0c440,\\Windows\\System32\\apphelp.dll,128
0,0x5a0c908,\\Windows\\System32\\wcncsvc.dll,128
0,0x5a0c9c0,\\Windows\\winsxs\\Manifests\\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_72d18a4386696c80.manifest,128
0,0x5a0cf80,\\Windows\\System32\\lsass.exe,128
0,0x5a0f538,\\Windows\\System32\\LogFiles\\Scm\\ffb8486a-9861-4b82-be38-c7f8fb1b6605,128
0,0x5a0f860,\\Program Files\\VMware\\VMware Tools\\plugins\\common\\vix.dll,128
0,0x5a4b920,\\Windows\\System32\\Tasks\\Microsoft\\Windows\\Tcpip\\IpAddressConflict2,128
0,0x5aa1100,\\Users\\Hoxed\\ntuser.dat.LOG1,128
0,0x5aa11b8,\\Users\\Hoxed\\NTUSER.DAT,128
0,0x5aa1ec8,\\Windows\\System32\\dhcpcsvc.dll,128
0,0x5b7dbb8,\\Windows\\System32\\wiarpc.dll,128
0,0x5b7def0,\\Users\\Hoxed\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat.LOG1,128
0,0x5bc0d10,\\emicintopo,128
0,0x5bc0e08,\\Windows\\System32\\nlaapi.dll,128
0,0x5bc0f80,\\elineoutwave,128
0,0x5c21c98,\\Windows\\System32\\drivers\\lltdio.sys,128
0,0x5c21f58,\\Windows\\System32\\uxsms.dll,128
