TreeDepth,Offset,Base,Size,Name,Path,Fileoutput
0,0x3ffeb808,0x86a00000,0x16000,mountmgr.sys,\\SystemRoot\\System32\\drivers\\mountmgr.sys,Disabled
0,0x3ffeb888,0x86bdd000,0x13000,vsock.sys,\\SystemRoot\\system32\\DRIVERS\\vsock.sys,Disabled
0,0x3ffeb908,0x86bc8000,0x15000,vmci.sys,\\SystemRoot\\system32\\DRIVERS\\vmci.sys,Disabled
0,0x3ffeb980,0x86bba000,0xe000,PCIIDEX.SYS,\\SystemRoot\\system32\\drivers\\PCIIDEX.SYS,Disabled
0,0x3ffeba00,0x86bb3000,0x7000,intelide.sys,\\SystemRoot\\system32\\drivers\\intelide.sys,Disabled
0,0x3ffeba80,0x86b68000,0x4b000,volmgrx.sys,\\SystemRoot\\System32\\drivers\\volmgrx.sys,Disabled
0,0x3ffebb00,0x86b58000,0x10000,volmgr.sys,\\SystemRoot\\system32\\drivers\\volmgr.sys,Disabled
0,0x3ffebb80,0x86b4d000,0xb000,BATTC.SYS,\\SystemRoot\\system32\\DRIVERS\\BATTC.SYS,Disabled
0,0x3ffebc00,0x86b45000,0x8000,compbatt.sys,\\SystemRoot\\system32\\DRIVERS\\compbatt.sys,Disabled
0,0x3ffebc80,0x86b34000,0x11000,partmgr.sys,\\SystemRoot\\System32\\drivers\\partmgr.sys,Disabled
0,0x3ffebd00,0x86b29000,0xb000,vdrvroot.sys,\\SystemRoot\\system32\\drivers\\vdrvroot.sys,Disabled
0,0x3ffebd80,0x86aff000,0x2a000,pci.sys,\\SystemRoot\\system32\\drivers\\pci.sys,Disabled
0,0x3fff16b8,0x86af7000,0x8000,msisadrv.sys,\\SystemRoot\\system32\\drivers\\msisadrv.sys,Disabled
0,0x3fff1738,0x86aee000,0x9000,WMILIB.SYS,\\SystemRoot\\system32\\drivers\\WMILIB.SYS,Disabled
0,0x3fff17b0,0x0,0x86aa6000,\\SystemRoot\\system32\\drivers\\ACPI.sys,,Disabled
0,0x3fff17b8,0x86aa6000,0x48000,ACPI.sys,\\SystemRoot\\system32\\drivers\\ACPI.sys,Disabled
0,0x3fff1830,0x86a98000,0xe000,WDFLDR.SYS,\\SystemRoot\\system32\\drivers\\WDFLDR.SYS,Disabled
0,0x3fff18b0,0x86a27000,0x71000,Wdf01000.sys,\\SystemRoot\\system32\\drivers\\Wdf01000.sys,Disabled
0,0x3fff1930,0x82f13000,0xab000,CI.dll,\\SystemRoot\\system32\\CI.dll,Disabled
0,0x3fff19a8,0x82ed1000,0x42000,CLFS.SYS,\\SystemRoot\\system32\\CLFS.SYS,Disabled
0,0x3fff1a20,0x82ec9000,0x8000,BOOTVID.dll,\\SystemRoot\\system32\\BOOTVID.dll,Disabled
0,0x3fff1aa0,0x82eb8000,0x11000,PSHED.dll,\\SystemRoot\\system32\\PSHED.dll,Disabled
0,0x3fff1b20,0x82e33000,0x85000,mcupdate.dll,\\SystemRoot\\system32\\mcupdate_GenuineIntel.dll,Disabled
0,0x3fff1ba0,0x80bd1000,0x8000,kdcom.dll,\\SystemRoot\\system32\\kdcom.dll,Disabled
0,0x3fff1c20,0x8281a000,0x37000,hal.dll,\\SystemRoot\\system32\\halmacpi.dll,Disabled
0,0x3fff1c98,0x82851000,0x412000,ntoskrnl.exe,\\SystemRoot\\system32\\ntkrnlpa.exe,Disabled
0,0x3fff2008,0x86f64000,0x3e000,NETIO.SYS,\\SystemRoot\\system32\\drivers\\NETIO.SYS,Disabled
0,0x3fff2a90,0x87251000,0x10000,agp440.sys,\\SystemRoot\\system32\\DRIVERS\\agp440.sys,Disabled
0,0x3fff2b10,0x8722c000,0x25000,CLASSPNP.SYS,\\SystemRoot\\system32\\drivers\\CLASSPNP.SYS,Disabled
0,0x3fff2b90,0x87000000,0x11000,disk.sys,\\SystemRoot\\system32\\drivers\\disk.sys,Disabled
0,0x3fff2c08,0x86e00000,0x32000,fvevol.sys,\\SystemRoot\\System32\\DRIVERS\\fvevol.sys,Disabled
0,0x3fff2c88,0x871eb000,0x8000,hwpolicy.sys,\\SystemRoot\\System32\\drivers\\hwpolicy.sys,Disabled
0,0x3fff2d08,0x86fc7000,0x2d000,rdyboost.sys,\\SystemRoot\\System32\\drivers\\rdyboost.sys,Disabled
0,0x3fff2d88,0x871d3000,0x8000,spldr.sys,\\SystemRoot\\System32\\Drivers\\spldr.sys,Disabled
0,0x3fff2e08,0x87194000,0x3f000,volsnap.sys,\\SystemRoot\\system32\\drivers\\volsnap.sys,Disabled
0,0x3fff2e88,0x87163000,0x31000,fwpkclnt.sys,\\SystemRoot\\System32\\drivers\\fwpkclnt.sys,Disabled
0,0x3fff2f08,0x87019000,0x14a000,tcpip.sys,\\SystemRoot\\System32\\drivers\\tcpip.sys,Disabled
0,0x3fff2f88,0x86fa2000,0x25000,ksecpkg.sys,\\SystemRoot\\System32\\Drivers\\ksecpkg.sys,Disabled

