TreeDepth,Plugin,Description,CreatedDate,ModifiedDate,AccessedDate,ChangedDate
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-WindowsSystemAssessmentTool%4Operational.evtx,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 
0,MFTScan,MFT FILE_NAME entry for CBS.log,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,N/A,2023-04-24 14:38:25.000000 
0,MFTScan,MFT FILE_NAME entry for MI75EC~1.EVT,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,N/A,2023-04-24 14:38:25.000000 
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-WindowsSystemAssessmentTool%4Operational.evtx,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,N/A,2023-04-24 14:38:25.000000 
0,MFTScan,MFT FILE_NAME entry for CBS.log,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MI75EC~1.EVT,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-WindowsSystemAssessmentTool%4Operational.evtx,2023-04-24 14:38:25.000000 ,2023-04-24 14:38:25.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for CBS.log,2023-04-24 14:38:25.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MI75EC~1.EVT,2023-04-24 14:38:25.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-WindowsSystemAssessmentTool%4Operational.evtx,2023-04-24 14:38:25.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Search,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 
0,MFTScan,MFT FILE_NAME entry for Data,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 
0,MFTScan,MFT FILE_NAME entry for Temp,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 
0,MFTScan,MFT FILE_NAME entry for Temp,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-25 01:32:49.000000 ,2023-04-24 14:38:31.000000 
0,MFTScan,MFT FILE_NAME entry for Temp,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for Search,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,N/A,2023-04-24 14:38:31.000000 
0,MFTScan,MFT FILE_NAME entry for Data,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,N/A,2023-04-24 14:38:31.000000 
0,MFTScan,MFT FILE_NAME entry for Search,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Data,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Temp,2023-04-24 14:38:31.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 ,2023-04-25 01:32:49.000000 
0,MFTScan,MFT FILE_NAME entry for Search,2023-04-24 14:38:31.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Data,2023-04-24 14:38:31.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MI6F01~1.EVT,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-MUI%4Operational.evtx,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for PropMap,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for CiPT0000.000,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for CiPT0000.001,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for CiPT0000.002,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for MI6F01~1.EVT,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-MUI%4Operational.evtx,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for PropMap,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for CiPT0000.000,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for CiPT0000.001,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for CiPT0000.002,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,2023-04-24 14:38:32.000000 
0,MFTScan,MFT FILE_NAME entry for MI6F01~1.EVT,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-MUI%4Operational.evtx,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for PropMap,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for CiPT0000.000,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for CiPT0000.001,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for CiPT0000.002,2023-04-24 14:38:32.000000 ,2023-04-24 14:38:32.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MI6F01~1.EVT,2023-04-24 14:38:32.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-MUI%4Operational.evtx,2023-04-24 14:38:32.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for PropMap,2023-04-24 14:38:32.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for CiPT0000.000,2023-04-24 14:38:32.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for CiPT0000.001,2023-04-24 14:38:32.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for CiPT0000.002,2023-04-24 14:38:32.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MI30D3~1.EVT,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-MUI%4Admin.evtx,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 
0,MFTScan,MFT FILE_NAME entry for MI30D3~1.EVT,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 ,N/A,2023-04-24 14:38:33.000000 
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-MUI%4Admin.evtx,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 ,N/A,2023-04-24 14:38:33.000000 
0,MFTScan,MFT FILE_NAME entry for MI30D3~1.EVT,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-MUI%4Admin.evtx,2023-04-24 14:38:33.000000 ,2023-04-24 14:38:33.000000 ,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for MI30D3~1.EVT,2023-04-24 14:38:33.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Microsoft-Windows-MUI%4Admin.evtx,2023-04-24 14:38:33.000000 ,N/A,N/A,N/A
0,MFTScan,MFT FILE_NAME entry for Temp,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 
0,MFTScan,MFT FILE_NAME entry for Temp,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:31.000000 
0,MFTScan,MFT FILE_NAME entry for Temp,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:31.000000 ,2023-04-24 14:38:37.000000 
0,MFTScan,MFT FILE_NAME entry for Videos,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 
0,MFTScan,MFT FILE_NAME entry for NTUSER.DAT,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 
0,MFTScan,MFT FILE_NAME entry for SAVEDG~1,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 
0,MFTScan,MFT FILE_NAME entry for Saved Games,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 
0,MFTScan,MFT FILE_NAME entry for Pictures,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 ,2023-04-24 14:38:37.000000 
