TreeDepth,Tag,Offset,Layer,Name
0,symbol_table_name1!_FILE_OBJECT,0x3ef1b8f0,memory_layer,\\Windows\\Fonts\\simkai.ttf
0,symbol_table_name1!_FILE_OBJECT,0x3ef1bae0,memory_layer,\\ProgramData\\Microsoft\\Assistance\\Client\\1.0\\en-US\\Help_MKWD_AssetId.H1W
0,symbol_table_name1!_FILE_OBJECT,0x3ef1bd00,memory_layer,\\$Directory
0,symbol_table_name1!_FILE_OBJECT,0x3ef1bf20,memory_layer,\\Windows\\System32\\glu32.dll
0,symbol_table_name1!_FILE_OBJECT,0x3ef1c3b8,memory_layer,\\Windows\\Fonts\\Shonar.ttf
0,symbol_table_name1!_KMUTANT,0x3ef1c640,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3ef1c6e0,memory_layer,\\Windows\\System32\\fltLib.dll
0,symbol_table_name1!_FILE_OBJECT,0x3ef1c818,memory_layer,\\Windows\\System32\\EAPQEC.DLL
0,symbol_table_name1!_FILE_OBJECT,0x3ef1ce28,memory_layer,\\Windows\\Fonts\\angsauz.ttf
0,symbol_table_name1!_KMUTANT,0x3ef1cf48,memory_layer,N/A
0,symbol_table_name1!_DRIVER_OBJECT,0x3efff5b8,memory_layer,N/A
